#  type bin1 bin2 theta_min theta_max 
xip  1  1  2.475  249.0
xip  1  2  6.217 249.0
xip  1  3  6.217  249.0
xip  1  4  4.938  249.0
xip  2  2  6.217  249.0
xip  2  3  6.217  249.0
xip  2  4  6.217  249.0
xip  3  3  6.217  249.0
xip  3  4  6.217  249.0
xip  4  4  4.938  249.0
xim  1  1  24.75  249.0
xim  1  2  62.17  249.0
xim  1  3  62.17  249.0
xim  1  4  49.38  249.0
xim  2  2  62.17  249.0
xim  2  3  78.27  249.0
xim  2  4  78.27  249.0
xim  3  3  78.27  249.0
xim  3  4  78.27  249.0
xim  4  4  62.17  249.0
gammat  1  1  25.41  249.0
gammat  1  2  25.41  249.0
gammat  1  3  25.41  249.0
gammat  1  4  25.41  249.0
gammat  2  1  18.26  249.0
gammat  2  2  18.26  249.0
gammat  2  3  18.26  249.0
gammat  2  4  18.26  249.0
gammat  3  1  13.06  249.0
gammat  3  2  13.06  249.0
gammat  3  3  13.06  249.0
gammat  3  4  13.06  249.0
gammat  4  1  10.86  249.0
gammat  4  2  10.86  249.0
gammat  4  3  10.86  249.0
gammat  4  4  10.86  249.0
wtheta  1  1  31.0  249.0
wtheta  2  2  25.0  249.0
wtheta  3  3  15.0  249.0
wtheta  4  4  15.0  249.0
